Fertilizantes;Ejemplos;Descripción
Nitrogenados;Amoníaco anhidro;Cambia de líquido a gas cuando se pone en contacto con el suelo, 82 % de N
Nitrogenados;Nitrato de amonio;32 - 34 % de N
Nitrogenados;Nitrato de amonio calcáreo (CAN);27 % de N
Nitrogenados;Nitro doble;27 % de N, 6 % de Ca, 4 % de Mg y 6% de S
Nitrogenados;UAN;Líquido y varia de 30 a 32 % N
Nitrogenados;Urea;46 % de N
Fosforados sólidos;Fosfato diamónico (FDA);18 % de N y 46 % de P2O5 (20 % de P).
Fosforados sólidos;Fosfato monoamónico (MAP);11 % de N y 51 % de P2O5 (23 % de P).
Fosforados sólidos;Superfosfato triple (SFT);46 % de P2O5 (20 % de P).
Fosforados sólidos;Superfosfato simple (SPS);21 % de P2O5 (9 % de P) y 12 % de S.
Potásicos;Cloruro de potasio;60 % de K2O (50 % de K)
Potásicos;Nitrato de potasio;44 % K2O (36 % de K) y 13 % de N.
Potásicos;Nitrato de sodio y potasio;14 % K2O (12 % de K) y 15 % de N.
Potásicos;Sulfato de potasio;50 % K2O (42 % de K) y 18 % de S.
Potásicos;Sulfato de potasio y magnesio (Sulpomag);22 % de K2O (18 % de K), 22 % de S y 11 de Mg.
Azufrados;Azufre elemental;80 – 95 % de S.
Azufrados;Sulfato de amonio;24 % de S y 21 de N
Azufrados;Sulfonitrato de amonio;12 % de S y 26 de N
Azufrados;Tiosulfato de amonio;26 % de S y 12 de N
Azufrados;Yeso agrícola;17 % de S y 22 % de Ca.
